Rafale max  help,soleil_durée,Précipitations en mm,Température minimale en °C,Température maximale en °C,prix moyen au kg,Production quantité tonne(s),Date
31.0,583.0,3.0,8.0,22.6,1.5,0.06,2012-06-14
55.8,198.0,9.3,14.4,22.1,1.5,0.07,2012-06-15
50.8,156.0,5.0,13.7,18.0,1.4333333333333331,0.3466666666666667,2012-06-16
35.3,728.0,19.9,8.2,21.9,1.3666666666666667,0.6233333333333333,2012-06-17
42.6,258.0,0.0,12.7,20.7,1.3,0.9,2012-06-18
36.0,126.0,7.0,11.9,20.3,1.2857142857142858,0.89,2012-06-19
23.4,524.0,0.0,11.4,24.0,1.2714285714285714,0.88,2012-06-20
69.8,468.0,3.1,17.1,27.2,1.2571428571428571,0.87,2012-06-21
49.0,606.0,0.4,11.9,21.4,1.2428571428571429,0.86,2012-06-22
37.0,518.0,0.0,8.7,21.1,1.2285714285714286,0.85,2012-06-23
63.0,12.0,3.8,11.2,20.9,1.2142857142857142,0.84,2012-06-24
33.5,102.0,1.8,14.2,20.5,1.2,0.83,2012-06-25
31.5,20.0,0.2,15.5,22.8,1.2,0.7224999999999999,2012-06-26
26.6,679.0,0.0,15.4,28.2,1.2,0.615,2012-06-27
46.3,666.0,0.2,16.2,31.6,1.2,0.5075000000000001,2012-06-28
37.8,180.0,1.4,14.3,22.5,1.2,0.4,2012-06-29
37.8,180.0,1.4,14.3,22.5,1.2,0.6,2012-06-29
46.8,546.0,0.0,12.1,24.4,1.2,0.5909090909090909,2012-06-30
39.6,20.0,0.2,1.0,10.4,1.2,0.5818181818181818,2012-07-01
45.4,540.0,0.0,-16.4,-4.0,1.2,0.5727272727272728,2012-07-02
53.7,19.0,3.0,-1.5,8.2,1.2,0.5636363636363636,2012-07-03
37.0,330.0,0.0,0.9,13.5,1.2,0.5545454545454546,2012-07-04
31.5,396.0,0.0,6.3,18.7,1.2,0.5454545454545454,2012-07-05
64.8,295.0,1.2,14.1,23.0,1.2,0.5363636363636364,2012-07-06
51.9,168.0,35.4,12.0,22.3,1.2,0.5272727272727272,2012-07-07
40.7,372.0,0.0,11.4,22.9,1.2,0.5181818181818182,2012-07-08
29.6,732.0,0.0,7.8,26.8,1.2,0.509090909090909,2012-07-09
37.1,30.0,3.2,10.8,14.3,1.2,0.5,2012-07-10
54.4,91.0,0.6,0.0,5.7,1.2,0.6,2012-07-12
44.6,42.0,27.6,13.4,17.1,1.2,0.7,2012-07-13
